taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1075177	Chalepides alliaceus (Burmeister, 1847)	1075177	Chalepides alliaceus (Burmeister, 1847)	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Scarabaeidae	5840	Chalepides	1075162	Chalepides alliaceus	1075177	NE
1095011	Polynoncus bifurcatus (Vaurie, 1962)	1095011	Polynoncus bifurcatus (Vaurie, 1962)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Trogidae	5839	Polynoncus	1094979	Polynoncus bifurcatus	1095011	NE
1115509	Cipriscola fasciata (Thomson, 1860)	1115509	Cipriscola fasciata (Thomson, 1860)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Cerambycidae	5602	Cipriscola	1115508	Cipriscola fasciata	1115509	NE
1171123	Nemorhinus myrmecophaga (Herbst, 1797)	1171123	Nemorhinus myrmecophaga (Herbst, 1797)	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Brentidae	4238	Nemorhinus	1171122	Nemorhinus myrmecophaga	1171123	NE
1321079	Pyramica appretiata (Borgmeier, 1954)	1321079	Pyramica appretiata (Borgmeier, 1954)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pyramica	1321015	Pyramica appretiata	1321079	NE
1321432	Leptogenys langi Wheeler, 1923	1321432	Leptogenys langi Wheeler, 1923	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Leptogenys	1321215	Leptogenys langi	1321432	NE
1429337	Erythemis credula (Hagen, 1861)	1429337	Erythemis credula (Hagen, 1861)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Odonata	789	Libellulidae	5936	Erythemis	1429323	Erythemis credula	1429337	LC
1523464	Rhyparella decempunctata Hendel, 1909	1523464	Rhyparella decempunctata Hendel, 1909	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Ulidiidae	3516	Rhyparella	1523462	Rhyparella decempunctata	1523464	NE
1572939	Phaonantho Albuquerque, 1957	1572939	Phaonantho Albuquerque, 1957	6	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Anthomyiidae	3330	Phaonantho	1572939			
1631451	Culicoides ignacioi Forattini, 1957	1631451	Culicoides ignacioi Forattini, 1957	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Ceratopogonidae	3340	Culicoides	1631084	Culicoides ignacioi	1631451	NE
