Edital;Coordenador;Genre;local;Valor da proposta;Categoria;Estado;Regiões;Status;Nome do Instituto
15/2008;Roberto Kant de Lima;M;Universidade Federal Fluminense;NA;Induzida - Faixa A;RJ;Sudeste;NA;NA
15/2008;Nadya Araujo Guimarães;F;Centro Brasileiro de Análise e Planejamento;NA;Induzida - Faixa A;SP;Sudeste;NA;NA
15/2008;João Victor Issler;M;Fundação Getúlio Vargas;NA;Induzida - Faixa A;RJ;Sudeste;NA;NA
15/2008;Leonor Costa Maia;M;Universidade Federal de Pernambuco;NA;Induzida - Faixa A;PE;Nordeste;NA;NA
15/2008;Carlos Medicis Morel;M;Fundação Oswaldo Cruz;NA;Induzida - Faixa A;RJ;Sudeste;NA;NA
15/2008;Esther Jean Langdon;F;Universidade Federal de Santa Catarina;NA;Induzida - Faixa A;SC;Sul;NA;NA
15/2008;Virgilio Augusto Fernandes Almeida;M;Universidade Federal de Minas Gerais;NA;Induzida - Faixa A;MG;Sudeste;NA;NA
15/2008;Franklin Riet Correa Amaral;M;Centro de Saúde e Tecnologia Rural;NA;Induzida - Faixa A;PB;Nordeste;NA;NA
15/2008;Jose Jorge de Carvalho;M;Universidade de Brasília;NA;Induzida - Faixa A;DF;Centro-Oeste;NA;NA
15/2008;Anne Marie Pessis;F;Fundação Museu do Homem Americano;NA;Induzida - Faixa B;PI;Nordeste;NA;NA
15/2008;Roberto Giugliani;M;Hospital de Clínicas de Porto Alegre;NA;Induzida - Faixa B;RS;Sul;NA;NA
15/2008;Oscar Manoel Loureiro Malta;M;Universidade Federal de Pernambuco;NA;Induzida - Faixa B;PE;Nordeste;NA;NA
15/2008;Poli Mara Spritzer;F;Universidade Federal do Rio Grande do Sul;NA;Induzida - Faixa B;RS;Sul;NA;NA
15/2008;Samuel Goldenberg;M;Instituto Carlos Chagas;NA;Induzida - Faixa B;RJ;Sudeste;NA;NA
15/2008;Faruk Jose Nome Aguilera;M;Universidade Federal de Santa Catarina;NA;Induzida - Faixa B;SC;Sul;NA;NA
15/2008;René Rodrigues;M;Faculdade de Geologia;NA;Induzida - Faixa B;RJ;Sudeste;NA;NA
15/2008;Hector Nicolas Seuánez Abreu;M;Instituto Nacional de Câncer;NA;Induzida - Faixa B;RJ;Sudeste;NA;NA
15/2008;Jose Luiz Rezende Pereira;M;Universidade Federal de Juiz de Fora;NA;Induzida - Faixa B;MG;Sudeste;NA;NA
15/2008;Niro Higuchi;M;Instituto Nacional de Pesquisas da Amazônia;NA;Induzida - Faixa B;AM;Norte;NA;NA
15/2008;Benildo Sousa Cavada;M;Universidade Federal do Ceará;NA;Induzida - Faixa B;CE;Nordeste;NA;NA
15/2008;Narendra Narain;M;Universidade Federal de Sergipe;NA;Induzida - Faixa B;SE;Nordeste;NA;NA
15/2008;Diogenes Santiago Santos;M;Pontifícia Universidade Católica do Rio Grande do Sul;NA;Induzida - Faixa B;RS;Sul;NA;NA
15/2008;Philip Martin Fearnside;M;Instituto Nacional de Pesquisas da Amazônia;NA;Induzida - Faixa B;AM;Norte;NA;NA
15/2008;João Tavares Pinho;M;Universidade Federal do Pará;NA;Induzida - Faixa B;AM;Norte;NA;NA
