Id;Class;Order;Family;SubFamily;Genus;specific epithet;                  Binomial sp                 ;Individuals
1;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Agamopus;castaneus;Agamopus castaneus;NA
2;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Agamopus;unguicularis;Agamopus unguicularis;NA
3;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Agamopus;viridis;Agamopus viridis;NA
4;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anisocanthon;sericinus;Anisocanthon sericinus;NA
5;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;aequalis;Anomiopus aequalis;NA
6;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;alexandrei;Anomiopus alexandrei;NA
7;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;andrei;Anomiopus andrei;NA
8;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;batesii;Anomiopus batesii;NA
9;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;brevipes;Anomiopus brevipes;NA
10;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;edmondsi;Anomiopus edmondsi;NA
11;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;foveicollis;Anomiopus foveicollis;NA
12;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;genieri;Anomiopus genieri;NA
13;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;gilli;Anomiopus gilli;NA
14;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;globosus;Anomiopus globosus;NA
15;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;gracilis;Anomiopus gracilis;NA
16;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;hirsutus;Anomiopus hirsutus;NA
17;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;howdeni;Anomiopus howdeni;NA
18;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;idei;Anomiopus idei;NA
19;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;intermedius;Anomiopus intermedius;NA
20;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;laetus;Anomiopus laetus;NA
21;Insecta;Coleoptera;Scarabaeidae;Scarabaeinae;Anomiopus;latistriatus;Anomiopus latistriatus;NA
